year,all_income,status,scenario,income_type
2023,38943596599.44629,predicted,Median,labour
2028,46808278754.127,predicted,Median,labour
2033,53876153945.434616,predicted,Median,labour
2038,60051017311.168976,predicted,Median,labour
2043,64138402340.3295,predicted,Median,labour
2048,67778958698.708496,predicted,Median,labour
2053,71929010100.1975,predicted,Median,labour
2058,77235623635.05174,predicted,Median,labour
2063,81667674200.54698,predicted,Median,labour
2068,85472972535.06705,predicted,Median,labour
2073,89508451465.79103,predicted,Median,labour
2023,38943596599.44629,predicted,5th percentile,labour
2028,45564891934.43062,predicted,5th percentile,labour
2033,51678910100.59059,predicted,5th percentile,labour
2038,56988130459.00624,predicted,5th percentile,labour
2043,59968033067.86432,predicted,5th percentile,labour
2048,62299842793.90361,predicted,5th percentile,labour
2053,64985333273.62248,predicted,5th percentile,labour
2058,68632010716.235535,predicted,5th percentile,labour
2063,70949247744.14673,predicted,5th percentile,labour
2068,72517443693.87364,predicted,5th percentile,labour
2073,74158763494.28244,predicted,5th percentile,labour
2023,38943596599.44629,predicted,25th percentile,labour
2028,46316316078.81642,predicted,25th percentile,labour
2033,52868292648.96823,predicted,25th percentile,labour
2038,58728450217.08507,predicted,25th percentile,labour
2043,62418854424.93692,predicted,25th percentile,labour
2048,65544062615.167725,predicted,25th percentile,labour
2053,69055303075.80042,predicted,25th percentile,labour
2058,73641434575.07755,predicted,25th percentile,labour
2063,77287579288.23099,predicted,25th percentile,labour
2068,80158716150.59615,predicted,25th percentile,labour
2073,83268745439.06989,predicted,25th percentile,labour
2023,38943596599.44629,predicted,75th percentile,labour
2028,47314303452.58484,predicted,75th percentile,labour
2033,54715854346.88698,predicted,75th percentile,labour
2038,61341047273.49007,predicted,75th percentile,labour
2043,65942745765.41423,predicted,75th percentile,labour
2048,70056378619.01633,predicted,75th percentile,labour
2053,74872242417.12404,predicted,75th percentile,labour
2058,80910436752.16374,predicted,75th percentile,labour
2063,86168875468.15088,predicted,75th percentile,labour
2068,90924565187.32475,predicted,75th percentile,labour
2073,96044021432.73595,predicted,75th percentile,labour
2023,38943596599.44629,predicted,95th percentile,labour
2028,48057086891.14882,predicted,95th percentile,labour
2033,56022015090.068726,predicted,95th percentile,labour
2038,63224464368.08194,predicted,95th percentile,labour
2043,68459578510.04259,predicted,95th percentile,labour
2048,73365924060.9357,predicted,95th percentile,labour
2053,79062108247.134,predicted,95th percentile,labour
2058,86183638654.42648,predicted,95th percentile,labour
2063,92797127447.52457,predicted,95th percentile,labour
2068,98816452285.13892,predicted,95th percentile,labour
2073,105392265206.83676,predicted,95th percentile,labour
2023,38943596599.44629,predicted,No immigration,labour
2028,45647816944.47211,predicted,No immigration,labour
2033,51125969917.18819,predicted,No immigration,labour
2038,55805888957.59511,predicted,No immigration,labour
2043,58303350536.43907,predicted,No immigration,labour
2048,60135146409.64421,predicted,No immigration,labour
2053,62082365684.06743,predicted,No immigration,labour
2058,64568507845.40347,predicted,No immigration,labour
2063,65527913498.71533,predicted,No immigration,labour
2068,65546348592.39435,predicted,No immigration,labour
2073,65293591330.999725,predicted,No immigration,labour
2023,38943596599.44629,predicted,Cyclic immigration,labour
