,year,mean_cpi,scaled_cpi
0,1988,522.75,0.7491938373342888
1,1989,552.5,0.7918308849874597
2,1990,586.0,0.8398423504120387
3,1991,601.5,0.8620566105338588
4,1992,607.5,0.8706556789681118
5,1993,615.5,0.8821211035471157
6,1994,626.0,0.8971694733070584
7,1995,649.5,0.9308491580078825
8,1996,664.5,0.9523468290935149
9,1997,672.25,0.9634539591544249
10,1998,680.75,0.9756359727696167
11,1999,680.0,0.974561089215335
12,2000,697.75,1.0
13,2001,716.25,1.0265137943389466
14,2002,735.25,1.053744177714081
15,2003,748.0,1.0720171981368685
16,2004,765.25,1.0967395198853458
17,2005,788.5,1.1300609100680759
18,2006,815.0,1.1680401289860265
19,2007,834.5,1.1959871013973487
20,2008,867.25,1.242923683267646
21,2009,886.0,1.2697957721246864
22,2010,906.0,1.2984593335721963
23,2011,943.0,1.3514869222500896
24,2012,952.75,1.3654604084557507
25,2013,963.5,1.3808670727337873
26,2014,975.25,1.3977069150841992
27,2015,978.25,1.4020064493013258
28,2016,984.5,1.4109638122536725
29,2017,1002.75,1.4371193120745254
30,2018,1018.75,1.4600501612325332
31,2019,1035.25,1.4836975994267287
32,2020,1053.0,1.5091365102113938
33,2021,1094.5,1.5686134002149767
34,2022,1173.0,1.681117878896453
35,2023,1240.25,1.7774991042637047
36,2024,1276.5,1.8294518093873164
